time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2026-09-12T10:21:30.10Z,47.8992716,2.1573003,1651.155,17.81,-8.24,14.29,235.730,406.181,5.22,335.16230,23.40175,3,4
2026-09-12T10:21:30.40Z,47.8993207,2.1572699,1646.960,18.17,-7.65,14.18,105.622,180.509,1.93,337.17368,8.90198,3,4
2026-09-12T10:21:30.60Z,47.8993581,2.1572521,1644.982,18.69,-7.05,13.16,118.539,203.617,1.50,339.34452,8.13849,3,4
2026-09-12T10:21:30.70Z,47.8993769,2.1572442,1644.056,18.93,-6.80,12.83,108.051,185.681,1.30,340.25114,7.58186,3,4
2026-09-12T10:21:30.80Z,47.8993958,2.1572365,1643.135,19.29,-6.47,12.09,100.460,172.721,1.02,341.46306,7.01363,3,4
2026-09-12T10:21:30.90Z,47.8994157,2.1572294,1642.418,19.82,-6.07,10.91,93.649,161.008,0.65,342.98117,6.38051,3,4
2026-09-12T10:21:31.00Z,47.8994347,2.1572219,1641.553,19.96,-5.87,10.79,88.787,152.663,0.59,343.61750,6.02333,3,4
2026-09-12T10:21:31.10Z,47.8994541,2.1572149,1640.736,20.17,-5.57,10.37,84.522,145.435,0.48,344.56310,5.61794,3,4
2026-09-12T10:21:31.20Z,47.8994737,2.1572085,1640.016,20.31,-5.23,9.83,80.831,139.157,0.41,345.56132,5.30431,3,4
2026-09-12T10:21:31.40Z,47.8995080,2.1571937,1637.599,20.52,-4.57,9.34,77.192,132.870,0.44,347.43307,5.00393,3,4
2026-09-12T10:21:31.50Z,47.8995257,2.1571872,1636.541,20.51,-4.37,9.05,74.000,127.360,0.45,347.97908,4.80527,3,4
2026-09-12T10:21:31.60Z,47.8995451,2.1571821,1635.863,20.80,-4.29,8.30,68.867,118.402,0.50,348.34394,4.51870,3,4
2026-09-12T10:21:31.70Z,47.8995627,2.1571754,1634.844,20.56,-4.52,8.39,63.522,109.041,0.45,347.58977,4.36191,3,4
2026-09-12T10:21:31.80Z,47.8995824,2.1571702,1634.296,20.49,-4.45,8.02,59.285,101.639,0.49,347.73622,4.16438,3,4
2026-09-12T10:21:31.90Z,47.8995993,2.1571632,1633.172,20.60,-4.41,7.84,55.831,95.605,0.51,347.91947,3.96013,3,4
2026-09-12T10:21:32.00Z,47.8996145,2.1571553,1631.682,20.43,-4.12,8.16,51.756,88.448,0.46,348.60125,3.77463,3,4
2026-09-12T10:21:32.20Z,47.8996505,2.1571438,1629.944,20.42,-4.12,7.60,48.662,82.949,0.61,348.58400,3.84749,3,4
2026-09-12T10:21:32.30Z,47.8996659,2.1571364,1628.578,20.16,-3.99,7.63,46.170,78.493,0.69,348.79106,3.99286,3,4
2026-09-12T10:21:32.40Z,47.8996839,2.1571313,1627.793,20.27,-3.74,7.32,43.698,74.061,0.72,349.55143,3.81591,3,4
2026-09-12T10:21:32.60Z,47.8997183,2.1571205,1625.879,20.35,-3.33,7.25,41.660,70.400,0.78,350.70182,3.69687,3,4
2026-09-12T10:21:32.80Z,47.8997566,2.1571136,1624.747,20.47,-2.82,6.74,39.855,67.145,0.84,352.14170,3.48458,3,4
2026-09-12T10:21:32.90Z,47.8997735,2.1571090,1623.748,20.26,-2.72,6.93,38.369,64.454,0.78,352.35448,3.33779,3,4
2026-09-12T10:21:33.00Z,47.8997925,2.1571061,1623.162,20.45,-2.63,6.92,37.077,62.115,0.78,352.65900,3.19498,3,4
2026-09-12T10:21:33.10Z,47.8998126,2.1571041,1622.809,20.82,-2.42,6.34,35.939,60.058,0.82,353.37997,2.94525,3,4
2026-09-12T10:21:33.30Z,47.8998517,2.1571004,1621.854,20.42,-1.73,6.62,34.892,58.206,0.72,355.14640,2.62559,3,4
2026-09-12T10:21:33.40Z,47.8998727,2.1571006,1621.616,20.37,-1.60,6.66,33.937,56.522,0.69,355.49836,2.51452,3,4
2026-09-12T10:21:33.50Z,47.8998925,2.1571001,1621.212,20.33,-1.37,6.64,33.062,54.982,0.69,356.14626,2.42210,3,4
2026-09-12T10:21:33.60Z,47.8999126,2.1571001,1620.895,20.16,-1.12,6.70,32.152,53.468,0.58,356.81583,2.12666,3,4
2026-09-12T10:21:33.70Z,47.8999337,2.1571012,1620.756,20.27,-1.06,6.64,31.223,51.983,0.52,357.00948,1.91979,3,4
2026-09-12T10:21:33.90Z,47.8999741,2.1571029,1620.014,20.18,-0.38,7.07,30.347,50.607,0.45,358.91326,1.71208,3,4
2026-09-12T10:21:34.00Z,47.8999941,2.1571041,1619.615,20.16,-0.36,7.21,29.544,49.332,0.43,358.97351,1.67297,3,4
2026-09-12T10:21:34.20Z,47.9000314,2.1571053,1618.350,19.81,0.33,7.41,28.820,48.177,0.41,0.95712,1.58048,3,4
2026-09-12T10:21:34.30Z,47.9000501,2.1571068,1617.788,19.83,0.66,7.52,28.141,47.085,0.41,1.90978,1.50039,3,4
2026-09-12T10:21:34.40Z,47.9000686,2.1571086,1617.188,19.71,1.12,7.50,27.547,46.133,0.41,3.23828,1.44842,3,4
2026-09-12T10:21:34.50Z,47.9000872,2.1571112,1616.633,19.88,1.67,7.46,26.994,45.242,0.42,4.80139,1.34256,3,4
2026-09-12T10:21:34.70Z,47.9001253,2.1571182,1615.594,19.81,2.14,7.62,26.488,44.426,0.42,6.16707,1.27800,3,4
2026-09-12T10:21:34.90Z,47.9001643,2.1571275,1614.656,20.16,2.96,7.67,26.014,43.659,0.44,8.35302,1.14654,3,4
2026-09-12T10:21:35.10Z,47.9002008,2.1571371,1613.257,19.86,3.92,8.05,25.542,42.886,0.41,11.15620,0.98897,3,4
2026-09-12T10:21:35.30Z,47.9002393,2.1571504,1612.162,19.79,4.38,8.22,25.216,42.373,0.40,12.46875,0.97586,3,4
2026-09-12T10:21:35.40Z,47.9002578,2.1571569,1611.517,19.85,4.50,8.28,24.944,41.954,0.40,12.78039,1.02570,3,4
2026-09-12T10:21:35.50Z,47.9002760,2.1571632,1610.842,19.74,4.70,8.30,24.576,41.355,0.40,13.38516,0.93185,3,4
2026-09-12T10:21:35.70Z,47.9003131,2.1571778,1609.486,19.63,5.20,8.42,24.241,40.810,0.40,14.82651,0.88084,3,4
2026-09-12T10:21:35.90Z,47.9003523,2.1571956,1608.552,19.61,5.82,8.66,23.900,40.249,0.39,16.53712,0.76829,3,4
2026-09-12T10:21:36.00Z,47.9003722,2.1572053,1608.146,19.55,6.21,8.70,23.562,39.691,0.38,17.62033,0.72716,3,4
2026-09-12T10:21:36.20Z,47.9004070,2.1572222,1606.351,19.65,6.68,8.87,23.274,39.220,0.38,18.77028,0.74260,3,4
2026-09-12T10:21:36.30Z,47.9004238,2.1572305,1605.390,19.57,6.93,8.87,22.981,38.740,0.38,19.48771,0.72229,3,4
2026-09-12T10:21:36.50Z,47.9004603,2.1572503,1603.912,19.74,7.29,8.64,22.798,38.453,0.41,20.26718,0.72634,3,4
2026-09-12T10:21:36.60Z,47.9004796,2.1572615,1603.391,19.45,7.64,8.80,22.605,38.149,0.39,21.45810,0.71278,3,4
2026-09-12T10:21:36.70Z,47.9004990,2.1572733,1602.851,19.52,8.00,8.77,22.420,37.855,0.40,22.27598,0.69945,3,4
2026-09-12T10:21:36.80Z,47.9005180,2.1572853,1602.266,19.56,8.26,8.75,22.240,37.570,0.40,22.90239,0.69172,3,4
2026-09-12T10:21:36.90Z,47.9005353,2.1572964,1601.393,19.34,8.52,8.88,22.068,37.296,0.39,23.77502,0.69360,3,4
2026-09-12T10:21:37.00Z,47.9005536,2.1573086,1600.692,19.44,8.78,8.89,21.871,36.976,0.40,24.29241,0.67409,3,4
2026-09-12T10:21:37.10Z,47.9005728,2.1573219,1600.148,19.33,9.03,8.86,21.680,36.665,0.40,25.03924,0.67651,3,4
2026-09-12T10:21:37.30Z,47.9006071,2.1573464,1598.303,19.26,9.48,8.96,21.478,36.330,0.40,26.21505,0.69539,3,4
2026-09-12T10:21:37.40Z,47.9006241,2.1573589,1597.383,19.45,9.72,8.82,21.300,36.039,0.41,26.55412,0.74371,3,4
2026-09-12T10:21:37.50Z,47.9006413,2.1573717,1596.478,19.42,9.94,8.88,21.129,35.758,0.41,27.11409,0.74484,3,4
2026-09-12T10:21:37.60Z,47.9006578,2.1573844,1595.414,19.59,10.09,8.77,20.964,35.488,0.42,27.25324,0.73890,3,4
2026-09-12T10:21:37.70Z,47.9006740,2.1573969,1594.319,19.48,10.28,8.79,20.806,35.230,0.42,27.83179,0.74447,3,4
2026-09-12T10:21:37.80Z,47.9006908,2.1574104,1593.381,19.29,10.54,8.68,20.654,34.981,0.43,28.65040,0.75527,3,4
2026-09-12T10:21:37.90Z,47.9007079,2.1574245,1592.505,19.17,10.72,8.63,20.470,34.674,0.43,29.19885,0.71118,3,4
2026-09-12T10:21:38.00Z,47.9007240,2.1574383,1591.442,19.12,11.00,8.70,20.293,34.377,0.43,29.91070,0.72141,3,4
2026-09-12T10:21:38.20Z,47.9007632,2.1574713,1590.637,18.86,11.24,9.16,7.139,12.209,0.18,30.78707,0.41434,3,11
2026-09-12T10:21:38.40Z,47.9007970,2.1575013,1588.768,18.82,11.50,9.10,5.219,9.003,0.16,31.42960,0.41568,3,11
2026-09-12T10:21:38.50Z,47.9008144,2.1575167,1587.899,18.94,11.68,9.00,4.333,7.527,0.16,31.65713,0.40786,3,11
2026-09-12T10:21:38.60Z,47.9008315,2.1575322,1586.971,18.86,11.81,8.92,3.792,6.628,0.16,32.04398,0.40714,3,11
2026-09-12T10:21:38.70Z,47.9008484,2.1575478,1586.030,18.69,11.96,8.96,3.422,6.013,0.16,32.62884,0.41003,3,11
2026-09-12T10:21:38.80Z,47.9008654,2.1575639,1585.127,18.67,12.19,8.90,3.156,5.572,0.16,33.14744,0.40918,3,11
2026-09-12T10:21:38.90Z,47.9008823,2.1575802,1584.228,18.56,12.41,8.90,2.947,5.225,0.15,33.76586,0.40966,3,11
2026-09-12T10:21:39.00Z,47.9008992,2.1575968,1583.345,18.39,12.50,8.81,2.784,4.955,0.15,34.19155,0.41193,3,11
2026-09-12T10:21:39.10Z,47.9009162,2.1576137,1582.525,18.30,12.65,8.71,2.658,4.746,0.15,34.65085,0.41251,3,11
2026-09-12T10:21:39.20Z,47.9009332,2.1576308,1581.704,18.38,12.75,8.75,2.552,4.572,0.15,34.75668,0.41029,3,11
2026-09-12T10:21:39.30Z,47.9009502,2.1576481,1580.905,18.42,12.74,8.58,2.463,4.426,0.15,34.67365,0.40935,3,11
2026-09-12T10:21:39.40Z,47.9009670,2.1576651,1580.049,18.43,12.80,8.57,2.373,4.275,0.16,34.77649,0.40907,3,11
2026-09-12T10:21:39.50Z,47.9009838,2.1576823,1579.203,18.51,12.97,8.54,2.292,4.140,0.16,35.01321,0.40663,3,11
2026-09-12T10:21:39.60Z,47.9010007,2.1576997,1578.387,18.36,13.04,8.44,2.223,4.025,0.16,35.38797,0.40899,3,11
2026-09-12T10:21:39.70Z,47.9010173,2.1577170,1577.538,18.41,13.06,8.33,2.157,3.915,0.16,35.36307,0.40799,3,11
2026-09-12T10:21:39.80Z,47.9010341,2.1577346,1576.707,18.42,13.23,8.37,2.100,3.819,0.15,35.67731,0.40338,3,11
2026-09-12T10:21:39.90Z,47.9010508,2.1577523,1575.888,18.29,13.34,8.21,2.047,3.731,0.15,36.10766,0.40506,3,11
2026-09-12T10:21:40.00Z,47.9010673,2.1577701,1575.045,18.29,13.42,8.21,1.997,3.645,0.15,36.27564,0.40443,3,11
2026-09-12T10:21:40.10Z,47.9010839,2.1577880,1574.225,18.31,13.45,8.15,1.951,3.568,0.15,36.30611,0.38753,3,11
2026-09-12T10:21:40.20Z,47.9011004,2.1578060,1573.391,18.29,13.51,8.15,1.908,3.495,0.16,36.43960,0.38769,3,11
2026-09-12T10:21:40.30Z,47.9011169,2.1578239,1572.557,18.20,13.51,8.13,1.867,3.426,0.16,36.58823,0.38931,3,11
2026-09-12T10:21:40.40Z,47.9011334,2.1578420,1571.756,18.23,13.43,8.10,1.832,3.366,0.16,36.39183,0.38921,3,11
2026-09-12T10:21:40.50Z,47.9011499,2.1578599,1570.939,18.18,13.46,8.02,1.797,3.307,0.16,36.52413,0.37873,3,11
2026-09-12T10:21:40.60Z,47.9011664,2.1578779,1570.126,18.22,13.46,7.98,1.763,3.250,0.16,36.44887,0.37796,3,11
