Saut #,Date,Zone de saut,Aéronef,Équipement,Type de saut,Alt de sortie,Alt d'ouverture,Unité d'altitude,Dist de la cible,Délai (s),Libération,Notes
4378,2020-08-16,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4379,2020-08-23,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4380,2020-08-23,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4381,2020-08-23,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4382,2020-08-23,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4383,2020-08-23,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4384,2020-08-23,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4385,2020-08-31,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4386,2020-08-31,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4387,2020-08-31,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4388,2020-08-31,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4389,2020-08-31,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4390,2020-08-31,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4391,2020-08-31,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4392,2020-08-31,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4393,2020-09-01,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4394,2020-09-01,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4395,2020-09-01,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4396,2020-09-01,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4397,2020-09-01,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4398,2020-09-01,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4399,2020-09-01,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4400,2020-09-01,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4401,2020-09-01,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4402,2020-09-02,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4403,2020-09-02,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4404,2020-09-02,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4405,2020-09-02,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4406,2020-09-02,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4407,2020-09-02,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4408,2020-09-02,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4409,2020-09-02,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4410,2020-09-02,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4411,2020-09-02,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4412,2020-09-03,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4413,2020-09-03,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4414,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4415,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4416,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4417,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4418,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4419,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4420,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4421,2020-09-03,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4422,2020-09-04,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4423,2020-09-04,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4424,2020-09-04,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4425,2020-09-04,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4426,2020-09-04,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4427,2020-09-04,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4428,2020-09-04,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
4429,2020-09-05,,,Mutant+Petra65-lineset1,,1500,0,Meters,0,0,Non,
4430,2020-09-05,,,Odyssey+PI-71,,1500,0,Meters,0,0,Non,
